"id";"cand_id";"funds";"state_code";"year"
215;11;1808122.0;"PA";1992
216;11;614190.0;"PA";1988
217;12;27950.0;"PA";1988
218;13;338622.0;"PA";1984
219;14;200500.0;"PA";1984
220;14;235858.0;"PA";1980
221;15;317400.0;"PA";1980
222;2;12370471.6;"NJ";2016
223;1;2533094.33;"NJ";2016
224;4;27813734.56;"NJ";2008
225;4;24043288.04;"NJ";2012
226;3;10880158.75;"NJ";2012
227;5;5355787.37;"NJ";2008
228;7;6107954.45;"NJ";2004
229;6;6076185.44;"NJ";2004
230;8;2399920.0;"NJ";2000
231;6;166800.0;"NJ";2000
232;10;1038845.0;"NJ";1996
233;9;1036061.0;"NJ";1996
234;10;877580.0;"NJ";1992
235;11;1352567.0;"NJ";1992
236;11;807950.0;"NJ";1988
237;12;60025.0;"NJ";1988
238;13;433853.0;"NJ";1984
239;14;197365.0;"NJ";1984
240;14;329634.0;"NJ";1980
241;15;469460.0;"NJ";1980
242;2;6660439.92;"OH";2016
243;1;3467365.14;"OH";2016
244;4;15661628.58;"OH";2012
245;4;14606545.24;"OH";2008
246;3;11478933.57;"OH";2012
247;5;5817304.42;"OH";2008
248;7;3458812.1;"OH";2004
249;6;7794509.58;"OH";2004
250;8;918377.0;"OH";2000
251;6;167210.0;"OH";2000
252;10;185267.0;"OH";1996
253;9;830700.0;"OH";1996
254;10;230247.0;"OH";1992
255;11;1233135.0;"OH";1992
256;11;1023950.0;"OH";1988
257;12;25500.0;"OH";1988
258;13;138176.0;"OH";1984
259;14;227065.0;"OH";1984
260;14;240104.0;"OH";1980
261;15;589883.0;"OH";1980
262;2;2504094.67;"IN";2016
263;1;1835350.01;"IN";2016
264;4;7241331.36;"IN";2012
265;4;6861002.66;"IN";2008
266;3;4051970.75;"IN";2012
267;5;1813184.58;"IN";2008
268;7;654359.3;"IN";2004
269;6;2646594.45;"IN";2004
270;8;270755.0;"IN";2000
271;6;61850.0;"IN";2000
272;10;75475.0;"IN";1996
273;9;51289.0;"IN";1996
274;10;73215.0;"IN";1992
275;11;1202170.0;"IN";1992
276;11;203975.0;"IN";1988
277;12;5750.0;"IN";1988
278;13;35900.0;"IN";1984
279;14;64100.0;"IN";1984
280;14;126860.0;"IN";1980
281;15;93750.0;"IN";1980
282;2;625449.0;"WV";2016
283;1;459766.26;"WV";2016
284;4;1653349.0;"WV";2012
285;4;1406591.12;"WV";2008
286;3;1051485.72;"WV";2012
287;5;287530.45;"WV";2008
288;7;471123.73;"WV";2004
289;6;569602.15;"WV";2004
290;8;97700.0;"WV";2000
291;6;19900.0;"WV";2000
292;10;20675.0;"WV";1996
293;9;21050.0;"WV";1996
294;10;68700.0;"WV";1992
295;11;28438.0;"WV";1992
296;11;23300.0;"WV";1988
297;12;1000.0;"WV";1988
298;13;6000.0;"WV";1984
299;14;17375.0;"WV";1984
300;14;6850.0;"WV";1980
301;15;18200.0;"WV";1980
302;2;16144462.63;"MD";2016
303;1;1518357.34;"MD";2016
304;4;39092781.38;"MD";2008
305;4;36207524.04;"MD";2012
306;3;6278825.26;"MD";2012
307;5;3622292.99;"MD";2008
308;7;6939220.79;"MD";2004
309;6;4180890.84;"MD";2004
310;8;2822135.0;"MD";2000
311;6;145715.0;"MD";2000
312;10;994810.0;"MD";1996
313;9;450433.0;"MD";1996
314;10;563122.0;"MD";1992
315;11;1002385.0;"MD";1992
